,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
158,Tupaia belangeri,Bos taurus,0.255255,0.0,25,12,149811902,153295999,39.90564559866216,41.42254341828584
159,Tupaia belangeri,Oryctolagus cuniculus,0.248661,0.0,25,12,149811902,159967302,39.90564559866216,42.28037946782452
160,Tupaia belangeri,Rattus norvegicus,0.245739,0.0,25,12,149811902,157641967,39.90564559866216,41.14000337454406
161,Tupaia belangeri,Cavia porcellus,0.250329,0.0,25,12,149811902,152628324,39.90564559866216,38.58365568505605
162,Sorex araneus,Erinaceus europaeus,0.269969,0.0,25,12,154664993,138227771,38.310947587616624,35.23760603795942
163,Sorex araneus,Felis catus,0.233966,0.0,25,12,154664993,163304671,38.310947587616624,41.29783220895761
164,Sorex araneus,Canis lupus familiaris,0.228646,0.0,25,12,154664993,151719617,38.310947587616624,40.749768610252154
165,Sorex araneus,Equus caballus,0.235861,0.0,25,12,154664993,163861668,38.310947587616624,40.82579448687693
166,Sorex araneus,Bos taurus,0.258731,0.0,25,12,154664993,153295999,38.310947587616624,41.42254341828584
167,Sorex araneus,Oryctolagus cuniculus,0.253856,0.0,25,12,154664993,159967302,38.310947587616624,42.28037946782452
168,Sorex araneus,Rattus norvegicus,0.250856,0.0,25,12,154664993,157641967,38.310947587616624,41.14000337454406
169,Sorex araneus,Cavia porcellus,0.253846,0.0,25,12,154664993,152628324,38.310947587616624,38.58365568505605
170,Erinaceus europaeus,Felis catus,0.253677,0.0,25,12,138227771,163304671,35.23760603795942,41.29783220895761
171,Erinaceus europaeus,Canis lupus familiaris,0.24916,0.0,25,12,138227771,151719617,35.23760603795942,40.749768610252154
172,Erinaceus europaeus,Equus caballus,0.255818,0.0,25,12,138227771,163861668,35.23760603795942,40.82579448687693
173,Erinaceus europaeus,Bos taurus,0.276512,0.0,25,12,138227771,153295999,35.23760603795942,41.42254341828584
174,Erinaceus europaeus,Oryctolagus cuniculus,0.272368,0.0,25,12,138227771,159967302,35.23760603795942,42.28037946782452
