taxon1,taxon2,distance
Ketogulonicigenium robustum,Tessaracoccus flavescens,3194.17114
Ketogulonicigenium robustum,Nocardia brasiliensis,3194.17114
Ketogulonicigenium robustum,Lentzea albidocapillata,3194.17114
Ketogulonicigenium robustum,Saccharothrix espanaensis,3194.17114
Ketogulonicigenium robustum,Cryobacterium arcticum,3194.17114
Ketogulonicigenium robustum,Actinomyces oris,3194.17114
Ketogulonicigenium robustum,Methanobacterium congolense,4250.0
Ketogulonicigenium robustum,Methanobacterium lacus,4250.0
Ketogulonicigenium robustum,Methanosphaera stadtmanae,4250.0
Ketogulonicigenium robustum,Methanobacterium formicicum,4250.0
Ketogulonicigenium robustum,Methanobrevibacter millerae,4250.0
Ketogulonicigenium robustum,Methanococcus aeolicus,4250.0
Ketogulonicigenium robustum,Methanococcus voltae,4250.0
Ketogulonicigenium robustum,Natronococcus occultus,4250.0
Ketogulonicigenium robustum,Natronobacterium gregoryi,4250.0
Ketogulonicigenium robustum,Natrinema pellirubrum,4250.0
Ketogulonicigenium robustum,Haloterrigena daqingensis,4250.0
Ketogulonicigenium robustum,Natrialba magadii,4250.0
Ketogulonicigenium robustum,Haloferax mediterranei,4250.0
Ketogulonicigenium robustum,Halorubrum lacusprofundi,4250.0
Ketogulonicigenium robustum,Halorhabdus utahensis,4250.0
Ketogulonicigenium robustum,Methanococcoides burtonii,4250.0
Ketogulonicigenium robustum,Methanomethylovorans hollandica,4250.0
Ketogulonicigenium robustum,Methanosarcina mazei,4250.0
Ketogulonicigenium robustum,Methanosarcina horonobensis,4250.0
Ketogulonicigenium robustum,Methanosarcina siciliae,4250.0
Ketogulonicigenium robustum,Methanosarcina lacustris,4250.0
Ketogulonicigenium robustum,Methanothrix soehngenii,4250.0
Ketogulonicigenium robustum,Methanocella conradii,4250.0
Ketogulonicigenium robustum,Methanolacinia petrolearia,4250.0
Ketogulonicigenium robustum,Methanoplanus limicola,4250.0
Ketogulonicigenium robustum,Methanospirillum hungatei,4250.0
Ketogulonicigenium robustum,Methanoregula formicica,4250.0
Ketogulonicigenium robustum,Methanolinea tarda,4250.0
Ketogulonicigenium robustum,Methanosphaerula palustris,4250.0
Ketogulonicigenium robustum,Methanoculleus bourgensis,4250.0
Ketogulonicigenium robustum,Archaeoglobus profundus,4250.0
Ketogulonicigenium robustum,Geoglobus ahangari,4250.0
Ketogulonicigenium robustum,Geoglobus acetivorans,4250.0
Ketogulonicigenium robustum,Archaeoglobus veneficus,4250.0
Ketogulonicigenium robustum,Ferroplasma,4250.0
Ketogulonicigenium robustum,Aciduliprofundum boonei,4250.0
Ketogulonicigenium robustum,Thermococcus kodakarensis,4250.0
Ketogulonicigenium robustum,Thermococcus siculi,4250.0
Ketogulonicigenium robustum,Thermococcus pacificus,4250.0
Ketogulonicigenium robustum,Pyrococcus abyssi,4250.0
Ketogulonicigenium robustum,Pyrococcus horikoshii,4250.0
Ketogulonicigenium robustum,Pyrococcus furiosus,4250.0
Ketogulonicigenium robustum,Pyrococcus yayanosii,4250.0
Ketogulonicigenium robustum,Desulfurococcus amylolyticus,4250.0
Ketogulonicigenium robustum,Ignicoccus islandicus,4250.0
Ketogulonicigenium robustum,Sulfolobus acidocaldarius,4250.0
Ketogulonicigenium robustum,Sulfurisphaera tokodaii,4250.0
Ketogulonicigenium robustum,Saccharolobus solfataricus,4250.0
Ketogulonicigenium robustum,Metallosphaera cuprina,4250.0
Ketogulonicigenium robustum,Hyperthermus butylicus,4250.0
Sphingobium herbicidovorans,Sandaracinus amylolyticus,2686.6000000000004
Sphingobium herbicidovorans,Methylorubrum populi,1468.1351399999999
Sphingobium herbicidovorans,Marinovum algicola,1468.13514
Sphingobium herbicidovorans,Ketogulonicigenium robustum,1468.13514
Sphingobium herbicidovorans,Sphingobium herbicidovorans,0.0
Sphingobium herbicidovorans,Acetobacter persici,1710.49761
Sphingobium herbicidovorans,Oleispira antarctica,2328.26642
Sphingobium herbicidovorans,Azotobacter vinelandii,2328.26642
Sphingobium herbicidovorans,Pluralibacter gergoviae,2328.26642
Sphingobium herbicidovorans,Photorhabdus thracensis,2328.26642
Sphingobium herbicidovorans,Pragia fontium,2328.26642
Sphingobium herbicidovorans,Pectobacterium carotovorum,2328.26642
Sphingobium herbicidovorans,Serratia liquefaciens,2328.26642
Sphingobium herbicidovorans,Vibrio fluvialis,2328.26642
Sphingobium herbicidovorans,Shewanella japonica,2328.26642
Sphingobium herbicidovorans,Methylotenera mobilis,2328.26642
