Chlorobium phaeovibrioides
Chloroherpeton thalassium
Nostoc punctiforme
Anabaena cylindrica
Oscillatoria nigro-viridis
Trichodesmium erythraeum
Oscillatoria acuminata
Microcystis aeruginosa
Pleurocapsa sp. PCC 7327
Stanieria cyanosphaera
Cyanobacterium aponinum
Dactylococcopsis salina
Moorena producens
Leptolyngbya boryana
Prochlorococcus
Cyanobium gracile
Synechococcus elongatus
Acaryochloris marina
Halomicronema hongdechloris
Trichormus azollae
Chroococcidiopsis thermalis
Crinalium epipsammum
Calothrix sp. PCC 6303
Gloeobacter kilaueensis
Anaerolinea thermophila
Caldilinea aerophila
Dehalogenimonas lykanthroporepellens
Dehalococcoides mccartyi
Chloroflexus aggregans
Roseiflexus castenholzii
Thermomicrobium roseum
Sphaerobacter thermophilus
Erysipelothrix rhusiopathiae
Mycoplasma suis
Mycoplasma parvum
Mycoplasma wenyonii
Mycoplasma ovis
Malacoplasma penetrans
Ureaplasma parvum
Mycoplasma yeatsii
Mycoplasma putrefaciens
Mycoplasma capricolum subsp. capricolum
Mycoplasma capricolum subsp. capripneumoniae
Spiroplasma diminutum
Spiroplasma cantharicola
Spiroplasma taiwanense
Spiroplasma apis
Spiroplasma culicicola
Spiroplasma turonicum
Spiroplasma litorale
Spiroplasma helicoides
Spiroplasma sabaudiense
Spiroplasma citri
Spiroplasma kunkelii
Spiroplasma eriocheiris
Spiroplasma chrysopicola
Spiroplasma syrphidicola
Mycoplasmopsis agalactiae
Mycoplasmopsis bovis
Mycoplasmopsis fermentans
Mycoplasmopsis pullorum
Mycoplasma crocodyli
Mycoplasmopsis canis
Mycoplasmopsis cynos
Mycoplasmopsis synoviae
Mycoplasmopsis pulmonis
Metamycoplasma arthritidis
Metamycoplasma hominis
Mycoplasmopsis arginini
Metamycoplasma canadense
Mesomycoplasma hyopneumoniae
Mesomycoplasma flocculare
Mesomycoplasma bovoculi
Mesomycoplasma hyorhinis
Mesomycoplasma mobile
Alteracholeplasma palmae
Acholeplasma laidlawii
Acholeplasma oculi
Paracholeplasma brassicae
Virgibacillus halodenitrificans
Virgibacillus necropolis
Lentibacillus salicampi
Oceanobacillus iheyensis
Terribacillus goriensis
Salimicrobium album
Halobacillus mangrovi
Halobacillus halophilus
Amphibacillus xylanus
Exiguobacterium sibiricum
Alkalihalobacillus krulwichiae
Alkalihalophilus pseudofirmus
Alkalihalobacillus clausii
Fictibacillus phosphorivorans
Salisediminibacterium selenitireducens
Salisediminibacterium beveridgei
Evansella cellulosilytica
Bacillus thuringiensis
Bacillus cytotoxicus
Priestia flexa
Priestia megaterium
Peribacillus simplex
Sutcliffiella horikoshii
Bacillus amyloliquefaciens
Bacillus licheniformis
Bacillus atrophaeus
Bacillus pumilus
Jeotgalibacillus marinus
Anoxybacillus amylolyticus
Anoxybacillus gonensis
Geobacillus thermoleovorans
Parageobacillus thermoglucosidasius
Solibacillus silvestris
Lysinibacillus fusiformis
Rummeliibacillus stabekisii
Sporosarcina ureae
Sporosarcina psychrophila
Planococcus rifietoensis
Planococcus antarcticus
Planococcus kocurii
Bacillus smithii
Salinicoccus halodurans
Mammaliicoccus sciuri
Staphylococcus succinus
Staphylococcus equorum subsp. equorum
Staphylococcus equorum subsp. linens
Staphylococcus saprophyticus
Staphylococcus xylosus
Staphylococcus pettenkoferi
Staphylococcus condimenti
Staphylococcus simulans
Staphylococcus pseudintermedius
Staphylococcus hyicus
Staphylococcus lutrae
Staphylococcus aureus
Staphylococcus haemolyticus
Staphylococcus lugdunensis
Macrococcus caseolyticus
Paenibacillus larvae
Paenibacillus naphthalenovorans
Paenibacillus mucilaginosus
Thermobacillus composti
Paenibacillus polymyxa
Paenibacillus durus
Paenibacillus stellifer
Paenibacillus odorifer
Paenibacillus borealis
Kyrpidia tusciae
Brevibacillus laterosporus
Brevibacillus brevis
Thermoactinomyces intermedius
Cytobacillus oceanisediminis
Bacillus infantis
Bacillus methanolicus
Vagococcus penaei
Aerococcus christensenii
Aerococcus urinae
Aerococcus sanguinicola
Aerococcus viridans
Aerococcus urinaehominis
Jeotgalibaca dankookensis
Carnobacterium inhibens
Carnobacterium maltaromaticum
Loigolactobacillus backii
Latilactobacillus sakei subsp. carnosus
Latilactobacillus sakei subsp. sakei
Latilactobacillus curvatus
Lacticaseibacillus paracasei subsp. paracasei
Lacticaseibacillus paracasei subsp. tolerans
Lacticaseibacillus rhamnosus
Paucilactobacillus hokkaidonensis
Limosilactobacillus mucosae
Limosilactobacillus fermentum
Limosilactobacillus reuteri
Pediococcus damnosus
Pediococcus acidilactici
Pediococcus pentosaceus
Pediococcus claussenii
Apilactobacillus kunkeei
Fructilactobacillus lindneri
Fructilactobacillus sanfranciscensis
Lentilactobacillus curieae
Lentilactobacillus buchneri
Lentilactobacillus parabuchneri
Levilactobacillus koreensis
Levilactobacillus brevis
Levilactobacillus zymae
Secundilactobacillus paracollinoides
Companilactobacillus crustorum
Companilactobacillus heilongjiangensis
Leuconostoc citreum
Leuconostoc lactis
Leuconostoc carnosum
Leuconostoc kimchii
Oenococcus oeni
Weissella ceti
Weissella koreensis
Weissella cibaria
Lactobacillus acetotolerans
Lactobacillus helveticus
Lactobacillus gallinarum
Lactobacillus amylovorus
Lactobacillus kefiranofaciens subsp. kefiranofaciens
Lactobacillus kefiranofaciens subsp. kefirgranum
Lactobacillus amylolyticus
Lactobacillus delbrueckii subsp. bulgaricus
Lactobacillus delbrueckii subsp. indicus
Lactobacillus delbrueckii subsp. lactis
Lactobacillus delbrueckii subsp. delbrueckii
Lactobacillus delbrueckii subsp. sunkii
Lactobacillus jensenii
Lactobacillus gasseri
Amylolactobacillus amylophilus
Ligilactobacillus agilis
Ligilactobacillus acidipiscis
Ligilactobacillus ruminis
Enterococcus mundtii
Enterococcus hirae
Enterococcus casseliflavus
Melissococcus plutonius
Tetragenococcus halophilus subsp. halophilus
Tetragenococcus halophilus subsp. flandriensis
Streptococcus dysgalactiae subsp. dysgalactiae
Streptococcus dysgalactiae subsp. equisimilis
Streptococcus thermophilus
Streptococcus salivarius
Streptococcus parasanguinis
Streptococcus cristatus
Streptococcus gordonii
Streptococcus anginosus
Streptococcus intermedius
Streptococcus gallolyticus
Streptococcus equi subsp. ruminatorum
Streptococcus equi subsp. equi
Streptococcus equi subsp. zooepidemicus
Streptococcus uberis
Streptococcus iniae
Streptococcus parauberis
Lactococcus garvieae
Lactococcus piscium
Thermoanaerobacter wiegelii
Thermoanaerobacter kivui
Thermoanaerobacter italicus
Caldanaerobacter uzonensis
Ammonifex degensii
Thermosediminibacter oceani
Clostridium tetani
Clostridium argentinense
Clostridium kluyveri
Clostridium tyrobutyricum
Clostridium carboxidivorans
Clostridium pasteurianum
Clostridium perfringens
Clostridium chauvoei
Clostridium beijerinckii
Clostridium saccharobutylicum
Clostridium saccharoperbutylacetonicum
Clostridium butyricum
Clostridium baratii
Clostridium cellulovorans
Clostridium novyi
Clostridium botulinum
Desulfitobacterium metallireducens
Desulfitobacterium hafniense Y51
Desulfitobacterium hafniense DCB-2
Desulfitobacterium dehalogenans
Desulfosporosinus orientis
Desulfosporosinus meridiei
Desulfosporosinus acidiphilus
Syntrophobotulus glycolicus
Dehalobacter restrictus
Heliomicrobium modesticaldum
Thermacetogenium phaeum
Carboxydothermus hydrogenoformans
Desulfoscipio gibsoniae
Desulfofarcimen acetoxidans
Desulfotomaculum nigrificans
Desulforamulus ruminis
Symbiobacterium thermophilum
Mahella australiensis
Caldicellulosiruptor saccharolyticus
Caldicellulosiruptor bescii
Thermoanaerobacterium xylanolyticum
Thermoanaerobacterium thermosaccharolyticum
Acetivibrio thermocellus
Acetivibrio clariflavus
Ruminiclostridium cellulolyticum
Thermoclostridium stercorarium subsp. thermolacticum
Thermoclostridium stercorarium subsp. stercorarium
Thermoclostridium stercorarium subsp. leptospartum
Ruminococcus albus
[Clostridium] cellulosi
Ethanoligenens harbinense
Flavonifractor plautii
Intestinimonas butyriciproducens
Oscillibacter valericigenes
Gottschalkia purinilytica
Peptoclostridium acidaminophilum
Clostridium formicaceticum
Clostridium aceticum
Alkaliphilus oremlandii
Cellulosilyticum lentocellum
Lachnoclostridium phytofermentans
Anaerostipes hadrus
Lachnospira eligens
Butyrivibrio proteoclasticus
Butyrivibrio hungatei
Lacrimispora saccharolytica
[Eubacterium] rectale
Roseburia hominis
Anaerotignum propionicum
[Eubacterium] sulci
Anaerococcus prevotii
Finegoldia magna
Parvimonas micra
Eubacterium limosum
Acetobacterium woodii
Thermaerobacter marianensis
Syntrophothermus lipocalidus
Acidaminococcus fermentans
Acidaminococcus intestini
Pelosinus fermentans
Veillonella parvula
Dialister pneumosintes
Megasphaera elsdenii
Selenomonas sputigena
Selenomonas ruminantium subsp. ruminantium
Selenomonas ruminantium subsp. lactilytica
Halothermothrix orenii
Halanaerobium praevalens
Halobacteroides halobius
Acetohalobium arabaticum
Natranaerobius thermophilus
Meiothermus ruber
Meiothermus silvanus
Thermus oshimai
Thermus scotoductus
Thermus brockianus
Thermus aquaticus
Marinithermus hydrothermalis
Oceanithermus profundus
Truepera radiovictrix
Deinococcus peraridilitoris
Deinococcus gobiensis
Deinococcus proteolyticus
Deinococcus geothermalis
Deinococcus radiopugnans
Deinococcus deserti
Deinococcus maricopensis
Streptomyces griseus
Streptomyces vietnamensis
Streptomyces clavuligerus
Kitasatospora aureofaciens
Streptomyces collinus
Kitasatospora setae
Streptomyces alboflavus
Streptomyces scabiei
Streptomyces glaucescens
Corynebacterium atypicum
Corynebacterium frankenforstense
Corynebacterium ureicelerivorans
Corynebacterium imitans
Corynebacterium camporealensis
Corynebacterium simulans
Corynebacterium aurimucosum
Corynebacterium singulare
Corynebacterium flavescens
Corynebacterium phocae
Corynebacterium stationis
Corynebacterium casei
Corynebacterium ammoniagenes
Corynebacterium deserti
